homestay_id,homestay_name,host_name,district,village_town,latitude,longitude,property_type,room_count,max_guests,price_per_night_inr,breakfast_included,wifi,parking,pet_friendly,local_food_available,eco_certified,solar_power,rainwater_harvesting,waste_management_score,sustainability_score,avg_rating,review_count,nearest_attraction,attraction_distance_km,image_url
AHM011,Tezpur Riverside Homestay,Nayan Kalita,Sonitpur,Tezpur,26.6528,92.7926,Riverside Cottage,4,9,2800,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,7,8.0,4.4,91,Agnigarh Hill,3.0,https://images.unsplash.com/photo-1470770841072-f978cf4d019e
AHM012,North Cachar Nature Stay,Jonthai Haflongbar,Dima Hasao,Umrangso,25.4592,93.1284,Nature Camp,5,15,2300,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,9,9.0,4.8,54,Umrangso Lake,2.7,https://images.unsplash.com/photo-1464146072230-91cabc968266
AHM013,Riverine Majuli Escape,Biju Neog,Majuli,Garamur,26.9312,94.1720,River Hut,6,18,2500,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,8,8.4,4.5,116,Auniati Satra,1.9,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85
AHM014,Assam Bamboo Retreat,Madhuri Baishya,Nalbari,Tihu,26.4562,91.4418,Bamboo Villa,4,10,2100,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,8.7,4.6,69,Rural Eco Park,5.2,https://images.unsplash.com/photo-1494526585095-c41746248156
AHM015,Orang Wild Trail Homestay,Biki Ali,Darrang,Orang,26.8374,92.0377,Safari Lodge,5,14,3400,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,9,9.2,4.8,158,Orang National Park,1.1,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee
AHM016,Barak Valley Homestay,Rina Laskar,Cachar,Silchar,24.8333,92.7789,Family Homestay,3,7,1700,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,5,6.9,4.1,48,Gandhi Park,4.0,https://images.unsplash.com/photo-1484154218962-a197022b5858
AHM017,Bhalukpong Border Stay,Tsering Monpa,Sonitpur,Bhalukpong,27.0421,92.6427,Mountain Cottage,4,12,3600,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,9,9.1,4.8,137,Kameng River,1.6,https://images.unsplash.com/photo-1441974231531-c6227db76b6e
AHM018,Jatinga Bird Watch Homestay,Elina Kemprai,Dima Hasao,Jatinga,25.4544,93.0345,Birding Lodge,5,13,3000,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,9,9.0,4.7,121,Jatinga Bird Point,0.9,https://images.unsplash.com/photo-1470246973918-29a93221c455
AHM019,Nameri Eco Habitat,Rupam Sharma,Sonitpur,Nameri,27.0123,92.8161,Eco Tent Stay,8,24,3900,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.6,4.9,302,Nameri National Park,1.3,https://images.unsplash.com/photo-1500534314209-a25ddb2bd429
AHM020,Dhemaji Village Retreat,Gopal Pegu,Dhemaji,Gogamukh,27.1398,94.7210,Village Cottage,4,9,1900,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,7,7.8,4.3,56,Rural Cultural Centre,3.8,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85
